,byline,dates,datetime,title
17699,Keith Wallis in Shenzhen keith.wallis@scmp.com.,14 Oct 2011,2011-10-14,Shenzhen airport confirms expansion plans Third runway and fourth terminal needed by 2040 as increases in passengers and freight drive growth
17700,"Chi-fai, Cheung; Ng, Joyce.",14 Oct 2011,2011-10-14,"Planners think big for Kowloon East New central business district's main draws include a railway system and huge office spaces, but it will need to shed its image as drab and hard to reach"
17751,,14 Oct 2011,2011-10-14,Table of contents
17750,"Cheng, Jennifer; Mimi Lau in Guangzhou.",14 Oct 2011,2011-10-14,Policy on disabled 'wrecks homes' People who need 24-hour care say they only qualify for social security by moving out and living alone
17749,"So, Charlotte.",14 Oct 2011,2011-10-14,Philippines traffic beats pre-hostage crisis high
17747,"Tanna Chong; Lee, Ada.",14 Oct 2011,2011-10-14,"Cost of HK$2 ride will soar, academics say Cut-price public transport fare for the elderly and disabled may be double the HK$200 million annual outlay the chief executive stated in his policy address"
17746,"Yu, Sophie.",14 Oct 2011,2011-10-14,China Mobile eyes data goldmine Firm looks to tap potential revenue from SMS and internet use as it attracts more subscribers
17745,"Chan, May.",14 Oct 2011,2011-10-14,Slower growth seen in millionaires ranks Hong Kong records sharpest rise in the number of rich people but expected toll from global economic downturn on stocks and property clouds prospects
17701,,14 Oct 2011,2011-10-14,Long Hair's antics reach new heights HOW WE SEE IT
17758,"Chiu, Austin; Nip, Amy.",14 Oct 2011,2011-10-14,Catholic diocese loses school reform challengeCatholic diocese loses challenge on school reform Appeal court judge rules that the church can still ensure it has a majority on management committees
17719,,14 Oct 2011,2011-10-14,Table of contents
17703,"Ngo, Jennifer.",14 Oct 2011,2011-10-14,Shedding light on the shape of life
17748,"Ngo, Jennifer.",14 Oct 2011,2011-10-14,Outdated attitudes about working women persist
17698,,14 Oct 2011,2011-10-14,Tseung Kwan O chopping suspect enters no plea
17696,,14 Oct 2011,2011-10-14,www.fuel.hk
17702,,14 Oct 2011,2011-10-14,Mainland's group-buying websites collapse
17753,"Yu, Verna.",14 Oct 2011,2011-10-14,"Ai vows to continue his crusade Dissident artist, top of an art magazine's power list, says he will use his influence to promote rights"
17715,,14 Oct 2011,2011-10-14,Sparkling reception for Vandenbroucke's new show
17737,Cary Huang in Beijing cary.huang@scmp.com.,14 Oct 2011,2011-10-14,Warm embraceof red culture to win 'new left' An article in the party mouthpiece heaping praise on Chongqing boss Bo Xilai's campaign is part of a political balancing act by some of the top leaders
17736,,14 Oct 2011,2011-10-14,A career partner with an IT focus career doctor
17735,"Zhang, Ed.",14 Oct 2011,2011-10-14,Investigation into staff abuse claims at Gucci store Employees say the removal of one or two managers is a ploy to divert public attention
17738,Dennis Chong in Manila; Zhuang Pinghui.,14 Oct 2011,2011-10-14,"WHO warns of more polio cases Authorities ramp up vaccinations as number of patients in Xinjiang rises to 17, with one death"
17718,"Choi, Christy.",14 Oct 2011,2011-10-14,"Kim Jong-il's grandson arrives at Bosnian school Kim Han-sol, 16, is enrolled at a college in Mostar after Hong Kong's multiple rejections of visa applications"
17717,"Tsang, Denise.",14 Oct 2011,2011-10-14,"Exports hurt by West's downturn September's external trade falls to seven-month low, while growth of imports slows amid tightening"
17739,,14 Oct 2011,2011-10-14,BEIJING: 205 held for fake tax invoices
17716,,14 Oct 2011,2011-10-14,"Stephen Lam, Eva Cheng chat live on policy address"
17711,,14 Oct 2011,2011-10-14,Halt building in enclaves in parks now
17709,,14 Oct 2011,2011-10-14,Planning ahead for public housing must include developing the New Territories
17708,"Tsang, Denise.",14 Oct 2011,2011-10-14,"Mainlanders driving global hospitality trade Hoteliers, including InterContinental, responding by tailoring their services to customer tastes and desires"
17707,,14 Oct 2011,2011-10-14,Regimental goat
17706,"Cheung, Gary.",14 Oct 2011,2011-10-14,Beijing warns u.s. over hk affairs Foreign Ministry's office reasserts stance on non-intervention in city by external forces
17705,"Gough, Neil.",14 Oct 2011,2011-10-14,"September sales up 8.8pc Mainland car market sees biggest rise since January, but still a far cry from double-digit growth in 2009-10"
17704,,14 Oct 2011,2011-10-14,Plane forced to land after woman's 'bomb threat'
17742,Jacintha Stephens in Kuala Lumpur.,14 Oct 2011,2011-10-14,"Thrust into a fight for justice When Malaysia's former deputy prime minister fell from grace, his wife stepped up to become a politician and leader of the fight to clear his name"
17710,,14 Oct 2011,2011-10-14,More effort needed to help disabled
17743,"Lo, Wei.",14 Oct 2011,2011-10-14,Mainland baby's plight may bringothers hope Charitable fund for liver transplants set up after huge response to plea for life-saving donations
17734,"Zuo, Mandy.",14 Oct 2011,2011-10-14,"GROUP-BUYING WEBSITES GOING OUT OF BUSINESS Hundreds of closures are reported, with one analyst pointing finger at lack of client resources, poor management and dearth of investment"
17712,,14 Oct 2011,2011-10-14,Glittering show ushers in new era Fashion extravaganza by seven of Asia's leading designers marks a milestone for the city's growing entertainment scene. Reports by Lola Wong
17733,Lawrence Chung in Taipei lawrence.chung@scmp.com.,14 Oct 2011,2011-10-14,Ex-leader Chen and wife handed new jail terms
17720,,14 Oct 2011,2011-10-14,This is thug-like behaviour
17721,"Cheung, Gary; So, Peter.",14 Oct 2011,2011-10-14,Angry exchange sparks mass walkout in legco 14 democrat lawmakers leave after Long Hair and Wong Yuk-man are expelled following heated row with Donald Tsang
17722,"Simpson, Cheung.",14 Oct 2011,2011-10-14,"Cyclist fights for road rights in court Martin Turner was stopped for riding in the middle of the street, but he contends that can be the safest spot"
17723,,14 Oct 2011,2011-10-14,Deloitte quits as auditor of Real Gold Mining
17725,"Ng, Joyce.",14 Oct 2011,2011-10-14,Buyers may have unfair advantage under new HOS Authority advisers say revived scheme arrangements such as a fixed premium will almost guarantee profits
17726,,14 Oct 2011,2011-10-14,"As anniversaries go, 125 years is certainly significant"
17727,Teddy Ng in Beijing teddy.ng@scmp.com.,14 Oct 2011,2011-10-14,"US processes record 1 million visa applications That's a 34pc rise on last year, but high refusal rate and long waiting times cause frustration"
17728,"Ren, Daniel.",14 Oct 2011,2011-10-14,"Services to power bulk of GDP City's service sector will account for two-thirds of its economy by 2015 as authorities look to finance, logistics and tourism as manufacturing declines"
17729,,14 Oct 2011,2011-10-14,Love of shoes runs in Jennifer Tse's family
17730,"Lo, Clifford.",14 Oct 2011,2011-10-14,"Heroin seizures triple as gangs target HK gateway With far fewer users in the city, traffickers focus on the mainland. Customs officers at the airport report a haul of 136kg of the drug so far this year"
17731,"Chan, May.",14 Oct 2011,2011-10-14,i.m.f. cuts asia growth forecasts Domino effect of debt crisis in Europe and economic stagnation in US sees GDP revised down to 6.3pc
17732,,14 Oct 2011,2011-10-14,face-to-face book
17724,,14 Oct 2011,2011-10-14,Problem far from dead and buried
17714,"Wong, Lola.",14 Oct 2011,2011-10-14,Asia's top fashion designers stage dream of a show
17740,,14 Oct 2011,2011-10-14,Masthead
17744,,14 Oct 2011,2011-10-14,Germ of an idea
17713,,14 Oct 2011,2011-10-14,Festival season begins with a flourish in city
17741,,14 Oct 2011,2011-10-14,"Forget stray cats, Mr Tsang, slap a tax on HK's empty flats There's a quicker fix to the housing shortage than building subsidised homes - jack up rates to force owners to rent out or sell the 250,000 or so that are vacant"
17757,,14 Oct 2011,2011-10-14,career builder
17752,"Ngo, Jennifer.",14 Oct 2011,2011-10-14,"Women's position in Hong Kong has been transformed in a century, from people without a name to working professionals. Their challenge is how to juggle it all The long road to liberation"
17754,Tanna Chong tanna.chong@scmp.com.,14 Oct 2011,2011-10-14,"democracy in hk falls short, says u.s. report Shortcomings of electoral reform bill passed last year and proposal to scrap by-elections are mentioned in annual American lawmakers' report"
17755,"Nip, Amy.",14 Oct 2011,2011-10-14,"Jobs tribute not a rip-off, says original designer"
17756,"Perez, Bien.",14 Oct 2011,2011-10-14,"Lenovo poised toclaim thepc crown First it was Dell, now troubled Hewlett-Packard is in the sights of mainland's technology giant as it aims to become the market's global leader"
17785,,15 Oct 2011,2011-10-15,Police vow curbs on debt-fleeing traders
17784,,15 Oct 2011,2011-10-15,'Long Hair' and five others face trial on November 24
17799,Jane Cai in Beijing xuejun.cai@scmp.com.,15 Oct 2011,2011-10-15,CCB hits first-home buyers with rate rise Beijing branch overtakes benchmark in what it claims is service differentiation between clients
17800,Jane Cai in Beijing xuejun.cai@scmp.com.,15 Oct 2011,2011-10-15,New loans at near two-year low Mainland banks lend 470 billion yuan last month -the lowest amount in 21 months. But economists see Beijing continuing its push to curb inflation
17801,"Nip, Amy; Agence France-Presse.",15 Oct 2011,2011-10-15,"Hardcore fans ready to pounce on latest iPhone The 4S will probably set you back HK$10,000on grey market as HK waits for official launch"
17786,Ed Zhang in Beijing ed.zhang@scmp.com.,15 Oct 2011,2011-10-15,"Business on the brink, smes say Small companies not expecting any profits in the next six months as market environment is worse than during the 2008 financial crisis, survey finds"
17777,"Ng, Joyce.",15 Oct 2011,2011-10-15,"HOUSING TARGETS MAY NOT BE MET Five-year plans for land supply could be hampered by a policy error nearly 10 years ago that called for a halt to all housing measures, minister says."
17776,"Tam, Maggie.",15 Oct 2011,2011-10-15,"Only a typhoon will stop harbour swimmers now With bacteria levels down, 1,000 people will take the plunge in tomorrow's race - the first in over 30 years"
17789,,15 Oct 2011,2011-10-15,Tear down illegal Sai Kung wall
17803,"So, Peter.",15 Oct 2011,2011-10-15,Tsang refuses to explain his 'thug' remark 'Saddened' chief executive declines to say what he meant in heated exchange with lawmakers; pan-democrats fault Legco president's handling of row
17804,Shi Jiangtao in Beijing jiangtao.shi@scmp.com.,15 Oct 2011,2011-10-15,"Rebuilding 99pc done, officials declare Authorities claim victory in reconstruction of Sichuan's quake zone, but critics say there is little to celebrate more than three years after the disaster"
17805,"Kang-chung, Ng.",15 Oct 2011,2011-10-15,No grace period for refunding consumers
17797,,15 Oct 2011,2011-10-15,Operatic rewards
17807,,15 Oct 2011,2011-10-15,Brolly folly
17808,,15 Oct 2011,2011-10-15,BEIJING: Upgrade at military museum
17809,,15 Oct 2011,2011-10-15,Wen in talks with Japan's trade minister
17802,"Jiao, Priscilla.",15 Oct 2011,2011-10-15,Officials encouraged to go online Beijing is trying to police microblogs - but it's also urging its agencies to use them to engage society
17787,,15 Oct 2011,2011-10-15,"Oct 9 Sun, Oriental Daily"
17768,,15 Oct 2011,2011-10-15,Clawing to the top
17767,,15 Oct 2011,2011-10-15,Disciplined services join day of dog devotion
17798,"Bloomberg; Lam, Lana.",15 Oct 2011,2011-10-15,'Occupy Wall Street' rallies set to sweep Asian cities Thousands of people from Hong Kong to S Korea plan to come out in force today against corporate greed
17772,"Ng, Joyce.",15 Oct 2011,2011-10-15,Young renters may have limited time in 'hostels'
17773,"Tsang, Denise.",15 Oct 2011,2011-10-15,"Wen warns of rising trade barriers At fair's opening, premier says protectionism is hurting the world economy amid West's turmoil"
17774,"Gough, Neil.",15 Oct 2011,2011-10-15,No slowdown in Lamborghini sales Italian luxury carmaker on track to unload 57 vehicles - including 17 of the new HK$6.3m Aventador - in Hong Kong despite looming recession fears
17775,"Lo, Wei.",15 Oct 2011,2011-10-15,Plight of sick mainland boy touches more hearts
17795,"Lo, Clifford.",15 Oct 2011,2011-10-15,Worker dies after being electrocuted at Legco site
17794,"Yeung, Linda.",15 Oct 2011,2011-10-15,"Fewer foreign students in post-quake Christchurch The full effect on international enrolment will be clear next year, says New Zealand's education chief"
17788,"Chan, Minnie.",15 Oct 2011,2011-10-15,"One pilot missing in Xian air show crash Aviation expert blames outdated engines for fighter's failure, but another cites controls"
17793,,15 Oct 2011,2011-10-15,In remembrance
17770,,15 Oct 2011,2011-10-15,Al-Saadi case brings shameful silence HOW WE SEE IT
17769,"Ng, Eric.",15 Oct 2011,2011-10-15,"China Petrochemical escapes full resource tax Firm's president says it will pay average rate of 3.7pc, lower than that announced by State Council"
17762,"Rovnick, Naomi.",15 Oct 2011,2011-10-15,Swiss bank La Roche closes HK unit
17764,Celine Sun in Beijing celine.sun@scmp.com.,15 Oct 2011,2011-10-15,Li Ning sales edge up in third quarter Embattled sports retailer expects mild growth in same-store sales for the year after poor first half
17765,,15 Oct 2011,2011-10-15,Golden couple tie the knot in Rome Model-actress Amanda Strang weds banker Christian Cappelli nine years after they meet
17791,,15 Oct 2011,2011-10-15,Look out for another 'fortress'
17810,,15 Oct 2011,2011-10-15,Table of contents
17771,"Cafolla, Liana.",15 Oct 2011,2011-10-15,Accountants advised to specialise and to keep their skills up-to-date
17811,Ed Zhang in Beijing ed.zhang@scmp.com.,15 Oct 2011,2011-10-15,tightening Beijing is seeking the perfect mix of patriotism and profits as it encourages the spread of culture; the downside could be harsher restrictions on the internet Bloggers fear the net is
17806,,15 Oct 2011,2011-10-15,How CSL helps employees embrace new identity
17813,"Nip, Amy.",15 Oct 2011,2011-10-15,Question marks over new welfare costs Taxpayers are still waiting to be told how much will be needed to fund proposed schemes for the elderly
17763,,15 Oct 2011,2011-10-15,Lessons in underground banking's toxic liquidity Suicides of debt-ridden tycoons and scores of business failures illustrate the high costs of seeking easy funding from the black market
17759,"Chow, Vivienne.",15 Oct 2011,2011-10-15,Overseas tours promise an education in the artsOverseas tours give educationin the arts Hong Kong Art School opens trips to the public for first time with visits to Japan and Australia
17760,,15 Oct 2011,2011-10-15,"Leadership lessons from a champion coach Summit will hear tips from GM of multi-awarded best-employer hotel, writes Rex Aguado Event details"
17761,,15 Oct 2011,2011-10-15,Grain gain
17783,,15 Oct 2011,2011-10-15,'Occupy Wall Street'
17782,"Li, Sandy.",15 Oct 2011,2011-10-15,Beijing curbs force agents to axe 700 outlets Strong government measures combined with market slump take their toll on jobs in real estate sector
17781,"Yiu, Enoch.",15 Oct 2011,2011-10-15,Beijing eases rules on using offshore yuan New guidelines allow foreign firms to invest in mainland projects with Chinese currency instead of US dollars in move to boost international use
17780,"So, Charlotte.",15 Oct 2011,2011-10-15,Cemetery operator cashes in on overseas Chinese
17779,,15 Oct 2011,2011-10-15,Christmas season not so cheerful for Cathay
17778,Cary Huang in Beijing cary.huang@scmp.com.,15 Oct 2011,2011-10-15,Cpi Easing nothing to celebrate Slight decline in mainland index not enough to relax tight credit or tackle sharp food price rises
17812,,15 Oct 2011,2011-10-15,Simon McHendry
17796,"Chiu, Austin.",15 Oct 2011,2011-10-15,WOMAN wants HK$5.5b from ex Court told she signed a secret deed cancelling agreement protecting husband's family fortune
17814,"Yiu, Enoch.",15 Oct 2011,2011-10-15,Prescribing the medicine for success Karen Tang Mui-fun sees communicationas the key to turninga traditional Chinese medicine company into a modern firm
17815,,15 Oct 2011,2011-10-15,Families mourn
17792,,15 Oct 2011,2011-10-15,Antics mock the legislative process
17766,"Poon, Hilda.",15 Oct 2011,2011-10-15,"From MNCs to SMEs, CPA credentials key to rewarding career in accounting"
17790,,15 Oct 2011,2011-10-15,New task force will pre-screen overseas doctors for eligibility for limited practice
17837,Lawrence Chung in Taipei lawrence.chung@scmp.com.,16 Oct 2011,2011-10-16,Mainland bloggers praise Taiwan's pursuit of democracy and freedom
17820,Tanna Chong tanna.chong@scmp.com.,16 Oct 2011,2011-10-16,"Tsang opens up about frustration of being the chief After the much publicised clash in Legco last week, he admits he has trouble expressing his feelings"
17852,,16 Oct 2011,2011-10-16,Behaviour of boobies reveals cycle of abuse
17853,"Carney, John.",16 Oct 2011,2011-10-16,strength to strength The Gurkhas may have left but the trail they blazed across the New Territories 30 years ago has gone on to become one of Hong Kong's signature events The trail that goes from
17833,,16 Oct 2011,2011-10-16,Make workplaces family friendly
17825,"Parry, Simon.",16 Oct 2011,2011-10-16,"This is your captain sleeping ... Cathay Pacific bosses launch action against employee who took photo of pilot as he had 'power nap' in cockpit at 11,000 metres on Dubai-Hong Kong flight"
17818,,16 Oct 2011,2011-10-16,"Dr Sun Yat-sen opera isn't a revolution in sound Music lets down solid cast, conducting and creative team at curtain-up in HK"
17838,"Chan, Minnie.",16 Oct 2011,2011-10-16,Hotline set up to smooth Beijing-Hanoi relations
17817,"Carney, John.",16 Oct 2011,2011-10-16,"Poster gets attention, but some say message stinks"
17816,,16 Oct 2011,2011-10-16,Europe under pressure to sort out debt crisis
17834,,16 Oct 2011,2011-10-16,'Social management' unlikely to offer much in the way of justice Rebranding seen as a powerful tool for the party to keep a lid on any disharmony within communities
17854,"Shi Jiangtao in Beijing; Chan, Minnie.",16 Oct 2011,2011-10-16,PLA eyes 'Night Eagle' to make army of night owls New drug developed by Chinese scientists promises to keep soldiers awake and alert for three days straight
17824,"Carney, John.",16 Oct 2011,2011-10-16,Anniversary appeal recalls happy memories Organisers seek to hold a reunion with walkers who laid down the milestones of the past 30 years
17819,"Lam, Lana.",16 Oct 2011,2011-10-16,"Could bragging get you that promotion? Asians, especially women, often do too little to broadcast their achievements, expert says"
17821,"Carney, John.",16 Oct 2011,2011-10-16,Ex-minister and tailor who suited him just fineFormer UK defence chief's visits to Hong Kong tailor City firm made outfits for former UK defence chief and the 'adviser' friend who led to his downfall
17822,Dennis Chong in Manila dennis.chong@scmp.com.,16 Oct 2011,2011-10-16,"HK to show the world how to stop smoking WHO to set up collaboration centre in the city, in recognition of its success in tobacco control"
17835,"Lau, Mimi.",16 Oct 2011,2011-10-16,Cyclist on roll to put Guangzhou on a bike Environmentalist Chen Jiajun puts out campaign after campaign to encourage a cycling-friendly city now polluted with car exhaust fumes
17832,,16 Oct 2011,2011-10-16,Inspectors stamp out street life
17849,"Chiu, Austin; Tanna Chong.",16 Oct 2011,2011-10-16,Furious Landlord takes on hawker Owners of Central building go to court in bid to oust news vendor after government decides not to revoke stallholder's trading licence
17848,"Simpson, Cheung.",16 Oct 2011,2011-10-16,"Survivors seek U.N. pressure on Philippines Victims' kin and survivors to accuse Manila of failing to protect human life during hostage-taking, in a complaint to world body's Human Rights Committee"
17828,,16 Oct 2011,2011-10-16,"Test-tube meat opens a world of possibilities Farming animals for food is wasteful; a Dutch scientist is a step closer to growing a synthetic substitute. Once he does, exotic, even extinct animals may be on menu"
17846,,16 Oct 2011,2011-10-16,Mong Kok acid scare
17844,,16 Oct 2011,2011-10-16,Bryce Lawrence
17843,"Carney, John.",16 Oct 2011,2011-10-16,"Young spinal victim set to see his All Black idols Adam Prentice suffered a serious injury playing the game he loves, but the local rugby community made sure his dream of being at the World Cup came true"
17842,,16 Oct 2011,2011-10-16,Dominique Strauss-Kahn
17850,"Nip, Amy.",16 Oct 2011,2011-10-16,Stellar spy dogs earn their badges They collar the bad guys and help solve crimes: meet members of the furry forces who keep the city safe
17841,,16 Oct 2011,2011-10-16,Millions claimed over Anita Mui's valuables
17831,,16 Oct 2011,2011-10-16,Fight for the right for everybody in Hong Kong to breathe easier
17830,,16 Oct 2011,2011-10-16,Balanced solution on park enclaves
17829,Reuters in London.,16 Oct 2011,2011-10-16,What lies beneath an Antarctic lake UK scientists hope to uncover clues about climate change and the origins of life in lake under ice sheet
17851,"Lam, Lana.",16 Oct 2011,2011-10-16,anti-wall street protest reaches asia's capitals Hong Kong at the forefront in Asia-Pacific as anti-capitalist movement that began in New York's financial district finds sympathisers and support around the world
17839,"Yan, Alice.",16 Oct 2011,2011-10-16,Despair for families of mentally ill Experts say the central government is indifferent to helping those with serious diseases and depression
17845,"Simpson, Cheung.",16 Oct 2011,2011-10-16,"Molester at large, police warn - days late again"
17826,,16 Oct 2011,2011-10-16,All political hues
17823,,16 Oct 2011,2011-10-16,1. Three women share Nobel Peace Prize HOW THEY SEE IT 2.
17840,,16 Oct 2011,2011-10-16,"Revived housing scheme leaves no room for fairness The new premium system will be unfair to existing owners, no matter what arrangements are made"
17827,"Wan, Adrian.",16 Oct 2011,2011-10-16,"Climate fans the flames of civil war Extreme weather changes double the risk of conflict by disrupting agricultural patterns, say scientists studying global warming's impact on societies"
17847,"Chan, Minnie.",16 Oct 2011,2011-10-16,Medical workers arrested over organ transplant bid Hebei police raid a clinic where a kidney seller had narrowly avoided surgery after the buyer turned tail
17836,Staff Reporter; Reutersin Beijing; Washington.,16 Oct 2011,2011-10-16,"yuan to remain stable, says wen Premier tells leading Guangdong entrepreneurs the exchange rate will be held steady to buffer exporters against excessive turbulence"
17883,,17 Oct 2011,2011-10-17,India warned about oil project with Vietnam
17897,,17 Oct 2011,2011-10-17,Cathay cabin crew launch campaign for pay rise
17896,,17 Oct 2011,2011-10-17,Store opening proves to be a very Swank occasion
17895,,17 Oct 2011,2011-10-17,Table of contents
17864,"Cheng, Jennifer.",17 Oct 2011,2011-10-17,Working longer but wasting time online
17865,,17 Oct 2011,2011-10-17,The way to help mainland SMEs
17855,,17 Oct 2011,2011-10-17,Weighing the cost of saving the past
17889,"Chen, Lulu; Reuters.",17 Oct 2011,2011-10-17,G20 endorses new surcharge on big lenders Up to 50 banks could be affected under move to ensure that they have sufficient funds
17879,Paggie Leung in Changchun paggie.leung@scmp.com.,17 Oct 2011,2011-10-17,"region shrugs off buying curbs Demand for homes from end-users is strong in northeast China, where prices are still climbing despite tight government measures to control the market"
17880,"Lai, Chloe.",17 Oct 2011,2011-10-17,Putting unwanted skills to good use
17881,,17 Oct 2011,2011-10-17,DSS schools deserve own department
17882,"Simpson, Cheung.",17 Oct 2011,2011-10-17,too many chiefs for a short stretch of road Ombudsman criticises slow response to hikers' complaints about dangerous traffic on a route administered by three government departments
17894,"Ngo, Jennifer.",17 Oct 2011,2011-10-17,'Occupy Central' activists dig in Anti-capitalism campaign moves into a second day with protesters targeting HSBC headquarters
17884,Denise Tsang in Guangzhou denise.tsang@scmp.com.,17 Oct 2011,2011-10-17,Dutch designer gets smart with timely innovation Shenzhen-made watch-phone with e-mail access a hot product at Guangzhou import and export trade fair
17885,"Cheung, Gary; So, Peter.",17 Oct 2011,2011-10-17,LEUNG THE TOP CHOICE FOR CHIEF Former Exco convenor most popular potential contender to be Hong Kong's next leader as poll finds Henry Tang's extramarital affair costs him dearly
17887,"Lee, Ada.",17 Oct 2011,2011-10-17,"It's official: Hongkongers love a bargain Global survey ranks city's consumers second only to Americans in use of shopping coupons, with fear of inflation a major driver in hunt for deals"
17888,,17 Oct 2011,2011-10-17,"HK always turns adversity to advantage, Tsang says"
17891,,17 Oct 2011,2011-10-17,"Drivers, passers-by leave two-year-old for dead"
17890,,17 Oct 2011,2011-10-17,Run for their money
17877,,17 Oct 2011,2011-10-17,First-class all the way as Gucci pushes the boat out at luxury launch
17898,"Yu, Sophie.",17 Oct 2011,2011-10-17,"Technovator to proceed with IPO, undeterred by market turmoil"
17899,Will Clem in Shanghai william.clem@scmp.com.,17 Oct 2011,2011-10-17,Hand-washing study leaves black mark
17900,"Sito, Peggy.",17 Oct 2011,2011-10-17,Ministry enters Taobao Mall row The mainland's biggest online shopping site is asked to listen to small businesses over increase in fees
17878,,17 Oct 2011,2011-10-17,Mouth-watering treats take centre stage at chocolate line launch
17874,,17 Oct 2011,2011-10-17,Crowning glory
17872,,17 Oct 2011,2011-10-17,"Sneaking a peak behind top committee's closed doors The economy, and impending changes at the top, likely to be the hot topics at secretive session"
17873,"Yu, Verna.",17 Oct 2011,2011-10-17,"Proud Manchu reclaims his rich heritage Since the last imperial family's downfall, its descendants survived decades of persecution and are now seeking to preserve their culture"
17868,,17 Oct 2011,2011-10-17,Don't throw baby out with bathwater HOW WE SEE IT
17871,,17 Oct 2011,2011-10-17,BEIJING: Text messages to the rescue
17867,,17 Oct 2011,2011-10-17,Limit traffic before road chaos turns scenic site route into accident black spot
17863,"Cheung, Gary.",17 Oct 2011,2011-10-17,Professionals' choice puts Leung way out in front
17862,Marianne Kearney in Goroka.,17 Oct 2011,2011-10-17,Where bloody violence rules Gangs have brought fear to a country experiencing a massive crime wave - but one highland tribe decided it had had enough
17861,"Lee, Ada.",17 Oct 2011,2011-10-17,"No pay for twoyears, and maidis still waiting Indonesian domestic workers the victims of widespread abuse, Catholic commission says"
17892,,17 Oct 2011,2011-10-17,Diamond tanker deal quadruples fleet to 40
17860,Toh Han Shih hanshih.toh@scmp.com.,17 Oct 2011,2011-10-17,"Railways, transport ministries team up for projects State arranges funds to revive rail construction linking ports to interior, triggering rally in stocks"
17858,"Leung, Paggie.",17 Oct 2011,2011-10-17,"HK rubella outbreak traced to church service One case confirmed and 13 suspected, mostly Indonesian helpers at a Causeway Bay hotel"
17857,,17 Oct 2011,2011-10-17,Professor's call on the yuan fails examination Abandoning the HK dollar in favour of the mainland's currency would be disastrous for the city's economy
17856,,17 Oct 2011,2011-10-17,Day of rage
17875,Denise Tsang in Guangzhou denise.tsang@scmp.com.,17 Oct 2011,2011-10-17,Disasters-hit prefectures seek revival at Canton Fair Japan strives to boost tourism and assuage concerns about food safety months after Fukushima plant crisis
17866,Will Clem in Shanghai william.clem@scmp.com.,17 Oct 2011,2011-10-17,"Beijing railway chief axed in wake of crash Transfer of director to another position points to more reshuffles facing troubled transport system hit by a graft probe, suicide and recent accidents"
17870,Ng Tze-wei in Beijing tzewei.ng@scmp.com.,17 Oct 2011,2011-10-17,badly injured child left for dead in traffic Passers-by look the other way after two-year-old is struck three times by two vehicles in an alley
17876,Keith Wallis in Shenzhen keith.wallis@scmp.com.,17 Oct 2011,2011-10-17,"More cathayfreight routes on the horizon Airline considers the viability of emerging markets in Europe, Africa and Latin America while it launches freighter services to Chengdu"
17869,"Ng, Teddy.",17 Oct 2011,2011-10-17,Sailors back home after Thai ordeal Cargo ships stranded after Mekong River hijacking sail home under escort and memorial service is held for 13 killed in attack by drug traffickers
17886,"Lo, Wei.",17 Oct 2011,2011-10-17,Teenager triumphs as cross-harbour race returnsTeen triumphs in cross-harbour race
17859,"Lai, Chloe.",17 Oct 2011,2011-10-17,"Paternity leave overdue, experts say Chief executive told to act on relief for new dads because the benefits outweigh any drawbacks"
17893,Denise Tsang in Guangzhou denise.tsang@scmp.com.,17 Oct 2011,2011-10-17,China's manufacturing exodus Relentless rises in production costs and wages are forcing mainland manufacturers - and product buyers - to the cheaper markets of Southeast Asia
17901,,18 Oct 2011,2011-10-18,Follow Olympic Park's lead
17943,"Simpson, Cheung; Lo, Clifford.",18 Oct 2011,2011-10-18,"Concerns after sex suspect arrested Delay in warning of attacks on girls was a threat to safety of public, police told"
17902,,18 Oct 2011,2011-10-18,Lack of sentiment damaging our city
17903,,18 Oct 2011,2011-10-18,Real estate law the right answer
17909,"So, Peter.",18 Oct 2011,2011-10-18,Tsang's praise for Stephen Lam gets a fiery response
17921,Ed Zhang in Beijing; Toh Han Shih.,18 Oct 2011,2011-10-18,"Toll roads sag under debt of 760b yuan Fees from drivers are not coming fast enough to meet debt obligations, with Beijing alone reporting profit out of 12 major transport authorities"
17910,"Wan, Ann.",18 Oct 2011,2011-10-18,Join the club for extra special touches
17920,"Chen, Stephen.",18 Oct 2011,2011-10-18,"'Political' flight for launch of superjumbo The first Airbus A380 operated by a Chinese airline makes a domestic, not international, start"
17919,,18 Oct 2011,2011-10-18,BEIJING: Museum in rental denial
17918,,18 Oct 2011,2011-10-18,Some famous names from American liberal arts universities
17923,,18 Oct 2011,2011-10-18,Hongkongers need more sports facilities HOW WE SEE IT
17930,"Man, Joyce.",18 Oct 2011,2011-10-18,Theft case figure soars to HK$780m
17912,Daniel Ren in Shanghai ren.wei@scmp.com.,18 Oct 2011,2011-10-18,Shanghai home prices forecast to fall Market faces pressure as city maintains tight controls to cool sector and more flats come on stream
17908,"Ng, Eric.",18 Oct 2011,2011-10-18,Gas seller refocuses on assets after index move Tianjin Tianlian hopes move to main board will help with delayed plan to buy gas holdings
17913,,18 Oct 2011,2011-10-18,PLA soldiers injured in clash with police
17904,"Rafferty, Kevin.",18 Oct 2011,2011-10-18,"Japan's budget blind spot While debt levels in euro zone nations like Greece trigger global concern, a far greater offender is rapidly slipping into economic paralysis"
17905,,18 Oct 2011,2011-10-18,WWF can ensure that property project does not damage sensitive wetlands
